adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/vjMvFSmGUxEtqVdaZgvFee9XkZl.jpg,"[878, 28, 12]",969681,en,Spider-Man: Brand New Day,"Four years have passed since the events of No Way Home, and Peter is now an adult living entirely alone, having voluntarily erased himself from the lives and memories of those he loves. Crime-fighting in a New York that no longer knows his name, he's devoted himself entirely to protecting his city — a full-time Spider-Man — but as the demands on him intensify, the pressure sparks a surprising physical evolution that threatens his existence, even as a strange new pattern of crimes gives rise to one of the most powerful threats he has ever faced.",31.7253,/pspkSVP39NGa6G2rvK5KlMjvYUe.jpg,2026-07-29,Spider-Man: Brand New Day,False,0.0,0
False,/be5SIsRGMckO8tU9lrLcIik70Dy.jpg,"[27, 14, 10749]",1246049,fr,Dracula,"In late 15th-century Eastern Europe, Prince Vlad II’s bride is brutally murdered. As a result, he renounces God and damns Heaven itself. Cursed with eternal life, Vlad is reborn as Dracula, an immortal warlord who defies fate in a blood-soaked crusade to wrench his lost love back from death.",37.4779,/dYRqA50yd0nB3qBR7AtWEJJQ8q.jpg,2025-07-30,Dracula,False,7.075,1087
False,/hiKmpZMGZsrkA3cdce8a7Dpos1j.jpg,"[35, 53, 18]",496243,ko,기생충,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",29.9796,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,2019-05-30,Parasite,False,8.494,20434
False,/8ZTVqvKDQ8emSGUEMjsS4yHAwrp.jpg,"[28, 878, 12]",27205,en,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",35.1958,/xlaY2zyzMfkhk0HSC5VUwzoZPU1.jpg,2010-07-15,Inception,False,8.372,39025
False,/hBwDYiOPwXHuwiYGP82ekFNSeBr.jpg,"[12, 14, 10749]",50619,en,The Twilight Saga: Breaking Dawn - Part 1,Bella Swan and Edward Cullen's honeymoon phase is abruptly disrupted by betrayals and unforeseen tragedies that endanger their world.,36.666,/qs8LsHKYlVRmJbFUiSUhhRAygwj.jpg,2011-11-16,The Twilight Saga: Breaking Dawn - Part 1,False,6.189,9224
False,/drRxbu2OHG0DEENptZ8wI5f0uEU.jpg,"[878, 28, 35]",1119449,en,"Good Luck, Have Fun, Don't Die",A 'Man from the Future' arrives at an LA diner where he must recruit the precise combination of disgruntled patrons to join him on a one-night quest to save the world from the terminal threat of a rogue artificial intelligence.,39.5824,/rWcfOdY7TU6lTdazWj0ebDZnAfO.jpg,2026-02-13,"Good Luck, Have Fun, Don't Die",False,6.925,348
False,/vL5LR6WdxWPjLPFRLe133jXWsh5.jpg,"[878, 28, 12]",19995,en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",34.7134,/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,2009-12-16,Avatar,False,7.602,33791
False,/eJ0HooOOD1uzI39CfOQNWIiWKlJ.jpg,"[28, 18, 53]",1387382,en,Hunting Season,"When a reclusive survivalist and his daughter rescue a mysterious, wounded woman from a river, they become entangled in a deadly web of violence and revenge, forcing them to confront a brutal criminal to survive.",36.6554,/cbryTyaWdqrKpQCw6K7zm2jrB5v.jpg,2025-12-05,Hunting Season,False,6.9,184
False,/4SKnHRIHv9SpsR1v45T7Los719O.jpg,"[35, 53]",467905,en,How to Make a Killing,"Disowned at birth by his obscenely wealthy family, blue-collar Becket Redfellow will stop at nothing to reclaim his inheritance, no matter how many relatives stand in his way.",34.3523,/yQ7OP2HYxl9YmkWNMkuUA2YaF5.jpg,2026-02-19,How to Make a Killing,False,7.0,270
False,/3cVrg7tzSf5AgEecYWDOSAzXAeX.jpg,"[27, 9648]",1408208,ja,８番出口,"A man trapped in an endless sterile subway passageway sets out to find Exit 8. The rules of his quest are simple: do not overlook anything out of the ordinary. If you discover an anomaly, turn back immediately. If you don’t, carry on. Then leave from Exit 8. But even a single oversight will send him back to the beginning. Will he ever reach his goal and escape this infinite corridor?",27.1493,/nQXYTvm6AY4WmtcPskroqC7Skh.jpg,2025-08-28,Exit 8,False,6.589,282
False,/mxdiaM2tsx8M6W3zLgiPwAkhQfq.jpg,"[18, 10749]",744275,en,After We Fell,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.",35.2037,/dU4HfnTEJDf9KvxGS9hgO7BVeju.jpg,2021-09-01,After We Fell,False,7.007,2723
False,/8mnXR9rey5uQ08rZAvzojKWbDQS.jpg,"[16, 28, 12, 878]",324857,en,Spider-Man: Into the Spider-Verse,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",30.9126,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,2018-12-06,Spider-Man: Into the Spider-Verse,False,8.394,17068
False,/s4su6J8opkWW9ibqfBdG6oae5iw.jpg,[18],1266992,tl,Balinsasayaw,"A rich woman marries a charming womanizer who conspires with his wife’s best friend. When all the revelations are exposed, the tables suddenly turn.",32.6294,/5gotyf6pPf9ZbDSW0yBLXMpDmmP.jpg,2024-05-17,Balinsasayaw,False,5.3,3
False,/cfT29Im5VDvjE0RpyKOSdCKZal7.jpg,"[28, 80, 53]",155,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",26.6417,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,2008-07-16,The Dark Knight,False,8.528,35505
